temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
283.3333333333333,0.17,0.64,1.478,0.011,0.225,0.217,19.02118929906994,10.75374459088695,SRM,60.0,304,Plotter,DC1,SRM2,DC1-SRM2,USA Surveillance,USA,1.05e+19,56721092986.29099,,low,,,NO,NO,PWR,52.464555733676164
282.7777777777778,0.17,0.64,1.478,0.011,0.225,0.217,19.13353890837022,10.47878928346301,SRM,62.2,305,Plotter,DC1,SRM2,DC1-SRM2,USA Surveillance,USA,1.36e+19,30115444900.78201,,low,,,NO,NO,PWR,59.74386896294927
284.4444444444445,0.196,1.0,1.347,0.013,0.214,0.097,18.45178643552429,10.85606981558087,W,62.77777777777778,306,Plotter,DC1,W1,DC1-W1,USA Surveillance,USA,2.83e+18,71790969051.24303,,low,,506,YES,NO,PWR,72.85423155799073
283.3333333333333,0.196,1.0,1.347,0.013,0.214,0.097,19.02118929906994,10.75374459088695,W,130.0,307,Plotter,DC1,W1,DC1-W1,USA Surveillance,USA,1.05e+19,56721092986.29099,,low,,506,YES,NO,PWR,88.63063251948819
285.0,0.14,0.662,1.255,0.009,0.164,0.237,19.37657695705651,10.81745032143286,P,69.95555555555556,312,Plotter,DC2,P1,DC2-P1,USA Surveillance,USA,2.38e+19,65682597842.78477,,low,,428,YES,NO,PWR,64.69478878305168
285.0,0.219,0.871,1.403,0.015,0.158,0.127,18.51851393987789,11.0111071611806,W,96.11111111111111,317,Plotter,DC2,W1,DC2-W1,USA Surveillance,USA,3.3e+18,102590503476.8854,,low,,453,YES,NO,PWR,73.32447162491604
287.0,0.05,0.76,1.34,0.011,0.22,0.23,20.07918124604763,11.14612803567824,F,83.1,324,Plotter,DO3,F1,DO3-F1,Belgium Surveillance,BELGIUM,1.2e+20,140000000000.0,,high,,UN-SPEC,NO,NO,PWR,72.89185038586106
295.0,0.04,0.77,1.46,0.007,0.22,0.22,19.12385164096709,11.14612803567824,F,20.1,332,Plotter,DO4,F2,DO4-F2,Belgium Surveillance,BELGIUM,1.33e+19,140000000000.0,,low,,UN-SPEC,NO,NO,PWR,19.288489101307068
295.0,0.04,0.77,1.46,0.007,0.22,0.22,19.73559889969818,11.14612803567824,F,39.9,334,Plotter,DO4,F2,DO4-F2,Belgium Surveillance,BELGIUM,5.44e+19,140000000000.0,,low,,UN-SPEC,NO,NO,PWR,39.009630739291865
285.5555555555555,0.133,0.537,1.645,0.008,0.253,0.247,18.85186960072977,11.36819673692345,P,28.88888888888889,345,Plotter,DR3,P1,DR3-P1,USA Surveillance,USA,7.11e+18,233451536643.026,,low,-20.77777777777778,422.649,YES,YES,BWR,41.66488346804027
285.5555555555555,0.133,0.537,1.645,0.008,0.253,0.247,19.26951294421792,11.34096142938667,P,56.66666666666666,348,Plotter,DR3,P1,DR3-P1,USA Surveillance,USA,1.86e+19,219261019634.4707,,low,-20.77777777777778,422.649,YES,YES,BWR,57.34623246693841
285.5555555555555,0.35,0.73,1.75,0.013,0.54,0.09,18.85186960072977,11.36819673692345,W,110.0,355,Plotter,DR3,W2,DR3-W2,USA Surveillance,USA,7.11e+18,233451536643.026,,low,,,NO,NO,BWR,97.43355705797244
285.5555555555555,0.35,0.73,1.75,0.013,0.54,0.09,19.13353890837022,11.45666247639708,W,112.2222222222222,356,Plotter,DR3,W2,DR3-W2,USA Surveillance,USA,1.36e+19,286195286195.2862,,low,,,NO,NO,BWR,108.41387282010145
284.4444444444445,0.1,0.56,1.4,0.015,0.28,0.2,18.79098847508882,11.21300062210582,P,37.77777777777778,362,Plotter,FA1,P1,FA1-P1,USA Surveillance,USA,6.18e+18,163305428716.3876,,low,,444,YES,NO,PWR,33.42947709790913
283.3333333333333,0.14,0.19,1.06,0.016,0.27,0.13,19.9304395947667,11.04602671423302,W,63.05555555555556,371,Plotter,FA1,W1,FA1-W1,USA Surveillance,USA,8.52e+19,111180011399.866,,high,,538,YES,NO,PWR,100.35698841758068
282.7777777777778,0.14,0.19,1.06,0.016,0.27,0.13,19.24303804868629,11.25286974791665,W,39.44444444444444,373,Plotter,FA1,W1,FA1-W1,USA Surveillance,USA,1.75e+19,179006890230.9291,,low,,538,YES,NO,PWR,53.90394267605501
282.7777777777778,0.14,0.19,1.06,0.016,0.27,0.13,19.48995847942484,11.2058220374787,W,48.33333333333334,374,Plotter,FA1,W1,FA1-W1,USA Surveillance,USA,3.09e+19,160628290540.7091,,low,,538,YES,NO,PWR,66.88308670784781
283.8888888888889,0.195,0.597,1.327,0.005,0.229,0.215,19.83250891270623,11.05472018890542,P,119.0,386,Plotter,FA2,P1,FA2-P1,USA Surveillance,USA,6.8e+19,113427977637.8744,,high,,498,YES,NO,PWR,105.21022363850528
283.8888888888889,0.195,0.597,1.327,0.005,0.229,0.215,19.83250891270623,11.05472018890542,P,128.0,387,Plotter,FA2,P1,FA2-P1,USA Surveillance,USA,6.8e+19,113427977637.8744,,high,,483,YES,NO,PWR,105.21022363850528
284.4444444444445,0.03,0.9,0.937,0.004,0.324,0.139,18.78175537465247,11.23762578893044,W,-8.88888888888889,388,Plotter,FA2,W1,FA2-W1,USA Surveillance,USA,6.05e+18,172832650001.5998,,low,,483,YES,NO,PWR,21.992412943419133
280.0,0.101,0.483,1.461,0.011,0.214,0.22,18.92788341033071,10.65675509667242,P,41.66666666666666,397,Plotter,FC1,P1,FC1-P1,USA Surveillance,USA,8.47e+18,45368570625.41993,,low,,455,YES,NO,PWR,39.67200197191862
282.2222222222222,0.101,0.483,1.461,0.011,0.214,0.22,19.18752072083646,10.55645442437005,P,42.77777777777778,398,Plotter,FC1,P1,FC1-P1,USA Surveillance,USA,1.54e+19,36012595615.77984,,low,,455,YES,NO,PWR,48.88756046441401
277.7777777777778,0.11,0.61,1.43,0.013,0.23,0.205,17.69897000433602,9.0727738096956,P,13.4,405,Plotter,FTZ,PBWR2,FTZ-PBWR2,USA Surveillance,USA,5e+17,1182425561.581196,,low,,,NO,NO,BWR,22.801054913087803
285.0,0.05,0.69,0.67,0.01,0.2,0.19,19.56110138364906,10.83184585533541,F,26.11111111111111,409,Plotter,GIN,F1,GIN-F1,USA Surveillance,USA,3.64e+19,67896260482.88417,,low,,432.646,YES,NO,PWR,40.8584812326405
285.0,0.07,0.69,0.66,0.01,0.23,0.18,18.76863810124761,11.12370345863401,F,-6.666666666666667,411,Plotter,GIN,F2,GIN-F2,USA Surveillance,USA,5.87e+18,132954627817.6415,,low,,539.5145,YES,NO,PWR,16.407173017034143
282.7777777777778,0.07,0.69,0.66,0.01,0.23,0.18,19.76342799356294,10.78032154728078,F,51.0,415,Plotter,GIN,F2,GIN-F2,USA Surveillance,USA,5.8e+19,60300588034.69987,,low,,539.5145,YES,NO,PWR,54.395154271695894
285.0,0.2,0.18,1.34,0.014,0.23,0.24,18.76863810124761,11.12370345863401,SRM,50.0,416,Plotter,GIN,SRM3,GIN-SRM3,USA Surveillance,USA,5.87e+18,132954627817.6415,,low,,,NO,NO,PWR,36.67849220654257
